time,step,mode,target6_0,target6_1,target6_2,target6_3,target6_4,target6_5,target7_0,target7_1,target7_2,target7_3,target7_4,target7_5,target7_6,action_norm,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,obs_tendon6_0,obs_tendon6_1,obs_tendon6_2,obs_tendon6_3,obs_tendon6_4,obs_tendon6_5,obs_thumb_abd,fb_source,q_ok,q_fail,q_angle_deg_0,q_angle_deg_1,q_angle_deg_2,q_angle_deg_3,q_angle_deg_4,q_angle_deg_5,dq_angle_deg_0,dq_angle_deg_1,dq_angle_deg_2,dq_angle_deg_3,dq_angle_deg_4,dq_angle_deg_5
1774772207.8439891,1,rl,0.07619908452033997,0.07502010464668274,0.07622218132019043,0.08127711713314056,0.25491562485694885,0.236983984708786,0.07619908452033997,0.07502010464668274,0.07622218132019043,0.08127711713314056,0.7699999809265137,0.034165166318416595,0.1037299707531929,0.8180744647979736,-0.9715592265129089,-0.9971286654472351,-0.8254032135009766,-0.6746982336044312,0.9837055802345276,-0.795080304145813,0.8880884647369385,0.0,0.0,0.0,0.0,0.0,0.0,0.4815346165560186,query,1,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
1774772207.8577163,2,rl,0.07629949599504471,0.07503830641508102,0.07657657563686371,0.08158330619335175,0.26112833619117737,0.2404358983039856,0.07629949599504471,0.07503830641508102,0.07657657563686371,0.08158330619335175,0.7899999618530273,0.03446904197335243,0.10304487496614456,0.7523812055587769,-0.9572142362594604,-0.9945278167724609,-0.7747748494148254,-0.6309570074081421,0.967485249042511,-0.5056731700897217,0.7249690890312195,0.0,0.0,0.0,0.0,0.0,0.0,0.4815346165560186,query,2,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
1774772207.9058268,3,rl,0.07630821317434311,0.07504096627235413,0.07662615925073624,0.0816708654165268,0.2671203315258026,0.24443331360816956,0.07630821317434311,0.07504096627235413,0.07662615925073624,0.0816708654165268,0.809999942779541,0.03445762023329735,0.10304166376590729,0.7506727576255798,-0.9559690356254578,-0.9941481947898865,-0.7676920890808105,-0.6184478402137756,0.9668217301368713,-0.5165513753890991,0.7242046594619751,0.0,0.0,0.0,0.0,0.0,0.0,0.5150927901268005,query,3,0,3.0,4.0,2.0,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan
1774772207.9542546,4,rl,0.07636577636003494,0.07504788041114807,0.07667117565870285,0.08167776465415955,0.2731480002403259,0.24821807444095612,0.07636577636003494,0.07504788041114807,0.07667117565870285,0.08167776465415955,0.8299999237060547,0.03449714556336403,0.10277260094881058,0.7358407974243164,-0.9477462768554688,-0.9931606650352478,-0.761260449886322,-0.6174628734588623,0.9537214636802673,-0.47890767455101013,0.6601434946060181,0.0,0.0,0.0,0.0,0.012616608291864395,0.0,0.5933951884508133,query,4,0,10.0,16.0,8.0,7.0,8.0,8.0,nan,nan,nan,nan,nan,nan
1774772208.0024266,5,rl,0.07668206095695496,0.07515557110309601,0.07754746079444885,0.08205576986074448,0.27924826741218567,0.25158411264419556,0.07668206095695496,0.07515557110309601,0.07754746079444885,0.08205576986074448,0.8499999046325684,0.03464039787650108,0.10198014229536057,0.6817123889923096,-0.9025623202323914,-0.9777759909629822,-0.636077880859375,-0.5634620785713196,0.9805163741111755,-0.34247687458992004,0.4714629650115967,0.016453124582767487,0.026605084538459778,0.03757332265377045,0.041564442217350006,0.04619169607758522,0.021697618067264557,0.6716976165771484,query,5,0,17.0,19.0,13.0,13.0,13.0,13.0,nan,nan,nan,nan,nan,nan
1774772208.050347,6,rl,0.0784808099269867,0.07524187117815018,0.07964465022087097,0.08149975538253784,0.2852438986301422,0.25581058859825134,0.0784808099269867,0.07524187117815018,0.07964465022087097,0.08149975538253784,0.869999885559082,0.03463418781757355,0.10226324945688248,0.6289835572242737,-0.6455985903739929,-0.965446949005127,-0.3364793062210083,-0.6428928971290588,0.9707628488540649,-0.3483937382698059,0.5388693809509277,0.049726568162441254,0.05984203517436981,0.11531999707221985,0.1082177683711052,0.057383377104997635,0.04406971484422684,0.6940697133541107,query,6,0,19.0,20.0,16.0,16.0,20.0,19.0,nan,nan,nan,nan,nan,nan
1774772208.1011448,7,rl,0.08488475531339645,0.0750117376446724,0.07847128808498383,0.08105744421482086,0.2913358807563782,0.259737104177475,0.08488475531339645,0.0750117376446724,0.07847128808498383,0.08105744421482086,0.8899998664855957,0.034765612334012985,0.10217142105102539,0.60816490650177,0.26925128698349,-0.9983240365982056,-0.504101574420929,-0.7060801386833191,0.9382772445678711,-0.22322489321231842,0.5170049667358398,0.08299999684095383,0.09307898581027985,0.18196004629135132,0.17487108707427979,0.057383377104997635,0.06644182652235031,0.7164418250322342,query,7,0,21.0,20.0,19.0,19.0,26.0,25.0,nan,nan,nan,nan,nan,nan
1774772208.1510196,8,rl,0.08817165344953537,0.07500065863132477,0.07937432825565338,0.07958395034074783,0.29779064655303955,0.2642090916633606,0.08817165344953537,0.07500065863132477,0.07937432825565338,0.07958395034074783,0.9099998474121094,0.035415228456258774,0.102761410176754,0.7083035111427307,0.7388077974319458,-0.9999060034751892,-0.3750959634780884,-0.916579008102417,0.9901190996170044,0.3954542279243469,0.6574782133102417,0.10518229752779007,0.11523695290088654,0.24860000610351562,0.24152442812919617,0.057383377104997635,0.06644182652235031,0.7164418250322342,query,8,0,21.0,20.0,21.0,21.0,32.0,31.0,nan,nan,nan,nan,nan,nan
1774772208.2013764,9,rl,0.08822520077228546,0.0750000923871994,0.07904962450265884,0.07910296320915222,0.3039880096912384,0.26820486783981323,0.08822520077228546,0.0750000923871994,0.07904962450265884,0.07910296320915222,0.929999828338623,0.03569723293185234,0.10275611281394958,0.7487090229988098,0.7464573383331299,-0.9999876618385315,-0.4214824140071869,-0.9852917790412903,0.9994320869445801,0.6640304923057556,0.6562167406082153,0.10518229752779007,0.11523695290088654,0.3152400255203247,0.30817776918411255,0.057383377104997635,0.07762790471315384,0.7276279032230377,query,9,0,22.0,20.0,21.0,21.0,38.0,37.0,nan,nan,nan,nan,nan,nan
1774772208.2508004,10,rl,0.08873394131660461,0.07500001043081284,0.07883315533399582,0.07902482897043228,0.31007152795791626,0.2724732756614685,0.08873394131660461,0.07500001043081284,0.07883315533399582,0.07902482897043228,0.9499998092651367,0.035816509276628494,0.10309161990880966,0.7837990522384644,0.8191344738006592,-0.9999985098838806,-0.4524071216583252,-0.9964538812637329,0.9999556541442871,0.7776267528533936,0.736099898815155,0.10518229752779007,0.11523695290088654,0.3818800449371338,0.3637222349643707,0.057383377104997635,0.08881393820047379,0.7388139367103577,query,10,0,23.0,20.0,21.0,21.0,44.0,42.0,nan,nan,nan,nan,nan,nan
