time,step,mode,cmd_deg_0,cmd_deg_1,cmd_deg_2,cmd_deg_3,cmd_deg_4,cmd_deg_5,motor_target_0,motor_target_1,motor_target_2,motor_target_3,motor_target_4,motor_target_5,action_norm,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,obs_hw_pos_0,obs_hw_pos_1,obs_hw_pos_2,obs_hw_pos_3,obs_hw_pos_4,obs_hw_pos_5,fb_source,q_ok,q_fail,readback_deg_0,readback_deg_1,readback_deg_2,readback_deg_3,readback_deg_4,readback_deg_5,tactile_pooled_0,tactile_pooled_1,tactile_pooled_2,tactile_pooled_3,tactile_pooled_4,force_safety_scale,tactile_raw_0_0,tactile_raw_0_1,tactile_raw_0_2,tactile_raw_0_3,tactile_raw_0_4,tactile_raw_0_5,tactile_raw_0_6,tactile_raw_0_7,tactile_raw_0_8,tactile_raw_0_9,tactile_raw_0_10,tactile_raw_0_11,tactile_raw_0_12,tactile_raw_0_13,tactile_raw_0_14,tactile_raw_0_15,tactile_raw_1_0,tactile_raw_1_1,tactile_raw_1_2,tactile_raw_1_3,tactile_raw_1_4,tactile_raw_1_5,tactile_raw_1_6,tactile_raw_1_7,tactile_raw_1_8,tactile_raw_1_9,tactile_raw_1_10,tactile_raw_1_11,tactile_raw_1_12,tactile_raw_1_13,tactile_raw_1_14,tactile_raw_1_15,tactile_raw_2_0,tactile_raw_2_1,tactile_raw_2_2,tactile_raw_2_3,tactile_raw_2_4,tactile_raw_2_5,tactile_raw_2_6,tactile_raw_2_7,tactile_raw_2_8,tactile_raw_2_9,tactile_raw_2_10,tactile_raw_2_11,tactile_raw_2_12,tactile_raw_2_13,tactile_raw_2_14,tactile_raw_2_15,tactile_raw_3_0,tactile_raw_3_1,tactile_raw_3_2,tactile_raw_3_3,tactile_raw_3_4,tactile_raw_3_5,tactile_raw_3_6,tactile_raw_3_7,tactile_raw_3_8,tactile_raw_3_9,tactile_raw_3_10,tactile_raw_3_11,tactile_raw_3_12,tactile_raw_3_13,tactile_raw_3_14,tactile_raw_3_15,tactile_raw_4_0,tactile_raw_4_1,tactile_raw_4_2,tactile_raw_4_3,tactile_raw_4_4,tactile_raw_4_5,tactile_raw_4_6,tactile_raw_4_7,tactile_raw_4_8,tactile_raw_4_9,tactile_raw_4_10,tactile_raw_4_11,tactile_raw_4_12,tactile_raw_4_13,tactile_raw_4_14,tactile_raw_4_15
1775464672.155317,1,rl,1.9691667556762695,4.388823986053467,46.51004409790039,0.2087944895029068,57.443355560302734,0.06398720294237137,0.029999999329447746,0.11082597076892853,0.08365035802125931,0.1103999987244606,0.07739999890327454,0.1103999987244606,1.1740723848342896,0.05375862494111061,0.030865775421261787,-0.431811660528183,0.5087995529174805,-0.8693615794181824,0.4165037274360657,0.029999999329447746,0.11082597076892853,0.08365035802125931,0.1103999987244606,0.07739999890327454,0.1103999987244606,query,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.1612883,2,rl,3.699634075164795,0.602135419845581,90.0,52.08148956298828,7.43184232711792,52.07670593261719,0.05999999865889549,0.11209999769926071,0.05849999934434891,0.0803999975323677,0.10625150799751282,0.0803999975323677,1.6454042196273804,0.8850598335266113,0.5035576224327087,-0.8919000625610352,-0.5982663035392761,-0.02088172361254692,-0.7187554240226746,0.05999999865889549,0.11209999769926071,0.05849999934434891,0.0803999975323677,0.10625150799751282,0.0803999975323677,query,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.2117374,3,rl,5.4301018714904785,0.602135419845581,52.57343292236328,43.166786193847656,57.09823226928711,54.63383102416992,0.08999999612569809,0.11209999769926071,0.08014751225709915,0.08555571734905243,0.07759910076856613,0.07892509549856186,1.1760494709014893,0.5696396231651306,0.21559301018714905,-0.49549978971481323,-0.40989595651626587,-0.5418345332145691,-0.5522710084915161,0.08999999612569809,0.11209999769926071,0.08014751225709915,0.08555571734905243,0.07759910076856613,0.07892509549856186,query,3,0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.266943,4,rl,7.160569190979004,4.996166229248047,41.78459548950195,16.40709114074707,64.49503326416016,37.710330963134766,0.11999999731779099,0.1106216311454773,0.08638027310371399,0.10103189200162888,0.07333190739154816,0.0886862650513649,0.840197741985321,0.13648049533367157,0.02405439130961895,-0.38217684626579285,-0.1285109519958496,-0.6194199323654175,-0.37479522824287415,0.11999999731779099,0.1106216311454773,0.08638027310371399,0.10103189200162888,0.07333190739154816,0.0886862650513649,query,4,0,5.0,0.0,9.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.3147876,5,rl,8.891035079956055,0.602135419845581,52.055015563964844,19.94457244873047,58.54098129272461,59.44841384887695,0.14999999105930328,0.11209999769926071,0.0804470032453537,0.09898602962493896,0.07676678150892258,0.0761481299996376,1.1595051288604736,0.6132676005363464,0.16494901478290558,-0.49005454778671265,-0.16570846736431122,-0.5569676160812378,-0.6027613282203674,0.14999999105930328,0.11209999769926071,0.0804470032453537,0.09898602962493896,0.07676678150892258,0.0761481299996376,query,5,0,6.0,3.0,13.0,12.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.3633192,6,rl,7.160568714141846,17.08231544494629,19.740234375,17.280437469482422,63.70159149169922,49.5373420715332,0.11999998986721039,0.1065552607178688,0.09911540150642395,0.10052680224180222,0.07378964126110077,0.08186465501785278,0.8236768245697021,0.04580909013748169,-0.11149129271507263,-0.15062902867794037,-0.13769440352916718,-0.6110973358154297,-0.49882450699806213,0.11999998986721039,0.1065552607178688,0.09911540150642395,0.10052680224180222,0.07378964126110077,0.08186465501785278,query,6,0,9.0,4.0,19.0,15.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.4118464,7,rl,8.891035079956055,2.454035520553589,44.22514724731445,21.03546714782715,69.38428497314453,56.73161697387695,0.14999999105930328,0.11147692799568176,0.08497035503387451,0.09835512191057205,0.07051131129264832,0.07771512866020203,1.1209193468093872,0.525704026222229,0.05256425961852074,-0.4078117311000824,-0.17717960476875305,-0.6707034707069397,-0.5742703676223755,0.14999999105930328,0.11147692799568176,0.08497035503387451,0.09835512191057205,0.07051131129264832,0.07771512866020203,query,7,0,7.0,3.0,24.0,16.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.4658632,8,rl,10.621503829956055,18.979368209838867,40.85470199584961,36.654415130615234,61.59803771972656,71.55562591552734,0.17999999225139618,0.10591699928045273,0.08691747486591339,0.08932207524776459,0.07500317692756653,0.06916490942239761,1.1424376964569092,0.3909197747707367,-0.1327667087316513,-0.37240952253341675,-0.3414168059825897,-0.5890332460403442,-0.7297289371490479,0.17999999225139618,0.10591699928045273,0.08691747486591339,0.08932207524776459,0.07500317692756653,0.06916490942239761,query,8,0,8.0,11.0,27.0,18.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.5137475,9,rl,12.351970672607422,35.48463821411133,50.45892333984375,33.53934860229492,70.31676483154297,68.65310668945312,0.20999999344348907,0.1003638207912445,0.0813690721988678,0.09112364053726196,0.06997336447238922,0.0708390325307846,1.2005153894424438,0.2624005675315857,-0.31787246465682983,-0.4732895791530609,-0.30866095423698425,-0.6804842352867126,-0.6992903351783752,0.20999999344348907,0.1003638207912445,0.0813690721988678,0.09112364053726196,0.06997336447238922,0.0708390325307846,query,9,0,10.0,14.0,32.0,22.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775464672.5617545,10,rl,14.082438468933105,31.98622703552246,65.43698120117188,51.48114013671875,69.11105346679688,76.68455505371094,0.23999999463558197,0.10154085606336594,0.07271617650985718,0.08074720203876495,0.07066893577575684,0.06620663404464722,1.4470152854919434,0.5579460859298706,-0.2786381244659424,-0.6306149363517761,-0.49732354283332825,-0.6678376197814941,-0.7835158705711365,0.23999999463558197,0.10154085606336594,0.07271617650985718,0.08074720203876495,0.07066893577575684,0.06620663404464722,query,10,0,11.0,24.0,39.0,28.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
