num_steps,eval/avg_episode_length,eval/episode_reward,eval/episode_reward/action_accel,eval/episode_reward/action_accel_std,eval/episode_reward/action_rate,eval/episode_reward/action_rate_std,eval/episode_reward/all_fingers_close,eval/episode_reward/all_fingers_close_std,eval/episode_reward/approach,eval/episode_reward/approach_std,eval/episode_reward/closure,eval/episode_reward/closure_std,eval/episode_reward/closure_uniformity,eval/episode_reward/closure_uniformity_std,eval/episode_reward/contact,eval/episode_reward/contact_std,eval/episode_reward/distal_closure,eval/episode_reward/distal_closure_std,eval/episode_reward/drop_risk,eval/episode_reward/drop_risk_std,eval/episode_reward/finger_participation,eval/episode_reward/finger_participation_std,eval/episode_reward/finger_synergy,eval/episode_reward/finger_synergy_std,eval/episode_reward/force_balance,eval/episode_reward/force_balance_std,eval/episode_reward/force_contact,eval/episode_reward/force_contact_std,eval/episode_reward/force_overload,eval/episode_reward/force_overload_std,eval/episode_reward/grip_force,eval/episode_reward/grip_force_std,eval/episode_reward/height,eval/episode_reward/height_std,eval/episode_reward/hold_position,eval/episode_reward/hold_position_std,eval/episode_reward/human_pose,eval/episode_reward/human_pose_std,eval/episode_reward/idle_follow,eval/episode_reward/idle_follow_std,eval/episode_reward/lift_without_wrap,eval/episode_reward/lift_without_wrap_std,eval/episode_reward/multi_finger,eval/episode_reward/multi_finger_std,eval/episode_reward/no_wrap_timeout,eval/episode_reward/no_wrap_timeout_std,eval/episode_reward/pinky_missing_on_lift,eval/episode_reward/pinky_missing_on_lift_std,eval/episode_reward/single_finger_dominance,eval/episode_reward/single_finger_dominance_std,eval/episode_reward/stable_hold,eval/episode_reward/stable_hold_std,eval/episode_reward/survival,eval/episode_reward/survival_std,eval/episode_reward/termination,eval/episode_reward/termination_std,eval/episode_reward/thumb_engage,eval/episode_reward/thumb_engage_std,eval/episode_reward/torques,eval/episode_reward/torques_std,eval/episode_reward/ulnar_engage,eval/episode_reward/ulnar_engage_std,eval/episode_reward_std,eval/epoch_eval_time,eval/sps,eval/std_episode_length,eval/walltime
0,245.359375,1047.057861328125,-7.466531753540039,7.138413429260254,-3.254509449005127,3.0960497856140137,0.0,0.0,0.0,0.0,550.0476684570312,540.8125,0.0,0.0,955.2909545898438,920.7091674804688,497.3487548828125,486.4788818359375,-72.24430847167969,89.95063781738281,0.0,0.0,0.0,0.0,0.0,0.0,13.6968994140625,13.336801528930664,0.0,0.0,0.0,0.0,0.0,0.0,18803.603515625,20257.8515625,233.5064697265625,226.98521423339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.40234375,117.76850891113281,-44.375,39.7600212097168,48.6178092956543,40.22502517700195,-156.01611328125,151.82510375976562,0.0,0.0,1121.34716796875,41.152865409851074,1555.1772485976112,235.05459594726562,41.152865409851074
5242880,244.96875,1079.9365234375,-7.387142181396484,7.178436756134033,-3.2219979763031006,3.1124117374420166,0.0,0.0,0.0,0.0,565.6614990234375,562.9800415039062,0.0,0.0,962.056884765625,941.0160522460938,511.863525390625,506.95166015625,-86.90550231933594,109.8919677734375,0.0,0.0,0.0,0.0,0.0,0.0,12.952408790588379,12.88562297821045,0.0,0.0,0.0,0.0,0.0,0.0,19429.7421875,20617.796875,238.59725952148438,234.9998016357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.20703125,119.41764831542969,-44.375,39.7600212097168,50.00236511230469,41.24176788330078,-152.46554565429688,150.1136932373047,0.0,0.0,1142.9110107421875,29.551267385482788,2165.7277559418762,238.35877990722656,70.70413279533386
10485760,231.0703125,1003.5037231445312,-7.1242241859436035,7.24993371963501,-3.107998847961426,3.1455135345458984,0.0,0.0,0.0,0.0,524.700927734375,550.2119750976562,0.0,0.0,903.167724609375,929.8877563476562,475.27593994140625,495.9211120605469,-80.59577941894531,98.52332305908203,0.0,0.0,0.0,0.0,0.0,0.0,11.79594612121582,13.028903007507324,0.0,0.0,0.0,0.0,0.0,0.0,18055.625,20570.044921875,221.93792724609375,230.7595977783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.25,118.50682067871094,-45.625,39.602516174316406,45.79883575439453,40.008182525634766,-147.02294921875,152.127197265625,0.0,0.0,1138.7978515625,7.2286059856414795,8853.712614455155,236.52508544921875,77.93273878097534
15728640,232.3203125,992.5104370117188,-6.881346225738525,6.879964351654053,-3.019723892211914,3.0028021335601807,0.0,0.0,0.0,0.0,538.781005859375,553.4361572265625,0.0,0.0,912.427734375,920.935546875,490.8243408203125,501.44598388671875,-76.61995697021484,102.8371353149414,0.0,0.0,0.0,0.0,0.0,0.0,11.921953201293945,12.662455558776855,0.0,0.0,0.0,0.0,0.0,0.0,17792.53515625,20333.35546875,226.09341430664062,229.15541076660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.86328125,116.86971282958984,-47.5,39.290584564208984,47.75629425048828,39.04856491088867,-151.97097778320312,155.1493377685547,0.0,0.0,1126.550048828125,7.2299957275390625,8852.010763467524,233.27320861816406,85.1627345085144
20971520,228.4375,988.7092895507812,-6.492282867431641,6.7339982986450195,-2.8453681468963623,2.937130928039551,0.0,0.0,0.0,0.0,535.451416015625,571.8317260742188,0.0,0.0,899.2881469726562,945.0205078125,485.7926940917969,516.3529663085938,-79.98042297363281,116.28793334960938,0.0,0.0,0.0,0.0,0.0,0.0,11.000265121459961,11.602154731750488,0.0,0.0,0.0,0.0,0.0,0.0,17739.13671875,20074.166015625,224.6048583984375,237.33450317382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.92578125,119.64418029785156,-46.875,39.40475082397461,47.869873046875,42.96164321899414,-146.69036865234375,155.298583984375,0.0,0.0,1116.87841796875,7.236324787139893,8844.268586968103,238.81747436523438,92.3990592956543
26214400,205.375,883.4390258789062,-6.0681610107421875,6.860439300537109,-2.6605868339538574,2.9926419258117676,0.0,0.0,0.0,0.0,475.32940673828125,556.4674072265625,0.0,0.0,806.3775634765625,925.3136596679688,429.80462646484375,500.48260498046875,-80.88922119140625,102.05901336669922,0.0,0.0,0.0,0.0,0.0,0.0,8.200498580932617,9.528679847717285,0.0,0.0,0.0,0.0,0.0,0.0,15874.0517578125,19835.484375,202.00006103515625,233.2419891357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.375,117.25669860839844,-50.0,38.72983169555664,42.590087890625,39.45500564575195,-132.33120727539062,153.74685668945312,0.0,0.0,1101.4613037109375,7.2266786098480225,8856.073924857428,234.04127502441406,99.62573790550232
31457280,220.5859375,879.6310424804688,-6.615111351013184,6.6105780601501465,-2.8838582038879395,2.863102912902832,0.0,0.0,0.0,0.0,518.526123046875,526.6083374023438,0.0,0.0,872.248046875,874.024169921875,461.9962158203125,466.9676208496094,-102.02640533447266,122.13512420654297,0.0,0.0,0.0,0.0,0.0,0.0,10.361443519592285,9.497801780700684,0.0,0.0,0.0,0.0,0.0,0.0,15615.125,19231.6171875,232.0333251953125,223.9820098876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.9609375,110.61526489257812,-53.125,37.78537368774414,77.89268493652344,57.161624908447266,-140.872314453125,142.93121337890625,0.0,0.0,1065.2022705078125,7.234426259994507,8846.589584292562,220.80532836914062,106.86016416549683
36700160,170.8125,651.9532470703125,-5.0572357177734375,6.192866325378418,-2.212470769882202,2.687636375427246,0.0,0.0,0.0,0.0,399.95556640625,498.0076599121094,0.0,0.0,676.172607421875,826.6324462890625,356.5262451171875,441.86773681640625,-92.45095825195312,111.4743423461914,0.0,0.0,0.0,0.0,0.0,0.0,8.526712417602539,9.258844375610352,0.0,0.0,0.0,0.0,0.0,0.0,11522.904296875,17739.740234375,184.98333740234375,214.9744873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.02734375,104.20280456542969,-60.625,34.27257537841797,69.47993469238281,55.62015914916992,-104.16523742675781,127.92894744873047,0.0,0.0,984.0767822265625,7.231749057769775,8849.86460242817,208.02227783203125,114.0919132232666
41943040,164.5078125,575.263427734375,-4.697079181671143,5.632657527923584,-2.083432197570801,2.482239246368408,0.0,0.0,0.0,0.0,376.86700439453125,459.6462097167969,0.0,0.0,647.6245727539062,778.4775390625,340.23333740234375,413.5494079589844,-85.74540710449219,114.4090347290039,0.0,0.0,0.0,0.0,0.0,0.0,8.498053550720215,9.479262351989746,0.0,0.0,0.0,0.0,0.0,0.0,10050.71484375,16415.642578125,178.93601989746094,200.75071716308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86328125,99.1662826538086,-62.5,33.07189178466797,71.92713928222656,49.606544494628906,-96.36896514892578,116.4215316772461,0.0,0.0,911.8067016601562,7.240542411804199,8839.11678987769,197.96176147460938,121.3324556350708
